[VP/NP] , used to treat , to treat , PPDB2.0Score=4.76476 PPDB1.0Score=12.744950 -logp(LHS,e1)=0.30786 -logp(LHS,e2)=0.89456 -logp(e1,LHS)=14.95995 -logp(e1,e2)=7.90234 -logp(e1,"e2,LHS)=6.75647 -logp(e2",LHS)=12.48692 -logp(e2,e1)=4.84261 -logp(e2,"e1,LHS)=4.28343 AGigaSim=0.80561 Abstract=0 Adjacent=0 CharCountDiff=-5 CharLogCR=-0.48551 ContainsX=0 Equivalence=0.088485 Exclusion=0.047945 GlueRule=0 GoogleNgramSim=0.33742 Identity=0 Independent=0.133904 Lex(e1",e2)=63.30685 Lex(e2,e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.018057 PhrasePenalty=1 RarityPenalty=0.01832 ForwardEntailment=0.711609 SourceTerminalsButNoTarget=0 SourceWords=3 TargetComplexity=0.97133 TargetTerminalsButNoSource=0 TargetWords=2 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=-1 WordLenDiff=-0.16667 WordLogCR=-0.40547 ,,, 0-0 1-0 2-1 , ForwardEntailment
[X] , education is , education programs , PPDB2.0Score=4.68897 PPDB1.0Score=24.046320 -logp(LHS,e1)=0.15099 -logp(LHS,e2)=1.28093 -logp(e1,LHS)=11.88724 -logp(e1,e2)=11.23257 -logp(e1,"e2,LHS)=7.19074 -logp(e2",LHS)=14.59836 -logp(e2,e1)=12.81375 -logp(e2,"e1,LHS)=9.90186 AGigaSim=0.53500 Abstract=0 Adjacent=0 CharCountDiff=6 CharLogCR=0.40547 ContainsX=1 Equivalence=0.055354 Exclusion=0.005164 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.433673 Lex(e1",e2)=63.30685 Lex(e2,e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.269645 PhrasePenalty=1 RarityPenalty=0.00674 ForwardEntailment=0.236164 SourceTerminalsButNoTarget=0 SourceWords=2 TargetComplexity=0.98851 TargetFormality=0.98378 TargetTerminalsButNoSource=0 TargetWords=2 UnalignedSource=1 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=3.00000 WordLogCR=0 ,,, 0-0 0-1 1-1 , Independent
[VP] , are reviewed , are under review , PPDB2.0Score=4.73408 PPDB1.0Score=8.624310 -logp(LHS,e1)=2.08130 -logp(LHS,e2)=0.03704 -logp(e1,LHS)=15.25600 -logp(e1,e2)=2.62104 -logp(e1,"e2,LHS)=3.05400 -logp(e2",LHS)=16.59398 -logp(e2,e1)=6.00327 -logp(e2,"e1,LHS)=4.39198 AGigaSim=0.64516 Abstract=0 Adjacent=0 CharCountDiff=4 CharLogCR=0.28768 ContainsX=0 Equivalence=0.491833 Exclusion=0.022506 GlueRule=0 GoogleNgramSim=0.34150 Identity=0 Independent=0.084691 Lex(e1",e2)=62.90141 Lex(e2,e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.130354 PhrasePenalty=1 RarityPenalty=0.01832 ForwardEntailment=0.270616 SourceTerminalsButNoTarget=0 SourceWords=2 TargetComplexity=0.99207 TargetTerminalsButNoSource=0 TargetWords=3 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=1 WordLenDiff=-0.83333 WordLogCR=0.40547 ,,, 0-0 1-1 1-2 , Equivalence
[S/JJ] ," yeah , it 's "," yes , it is ", PPDB2.0Score=4.70359 PPDB1.0Score=8.328350 -logp(LHS,e1)=4.62185 -logp(LHS,e2)=5.31996 -logp(e1,LHS)=12.65493 -logp(e1,e2)=4.00743 -logp(e1,"e2,LHS)=2.21297 -logp(e2",LHS)=13.66653 -logp(e2,e1)=4.32092 -logp(e2,"e1,LHS)=3.22457 AGigaSim=0.86886 Abstract=0 Adjacent=0 CharCountDiff=-1 CharLogCR=-0.08701 ContainsX=0 Equivalence=0.191840 Exclusion=0.029977 GlueRule=0 GoogleNgramSim=0.33059 Identity=0 Independent=0.346649 Lex(e1",e2)=63.30685 Lex(e2,e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.032656 PhrasePenalty=1 RarityPenalty=0.00248 ReverseEntailment=0.398878 SourceTerminalsButNoTarget=0 SourceWords=4 TargetComplexity=0.98167 TargetFormality=0.00000 TargetTerminalsButNoSource=0 TargetWords=4 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-0.25000 WordLogCR=0 ,,, 0-0 1-1 2-2 3-3 , ReverseEntailment
[VP/SBAR] , is no doubt , is no dispute , PPDB2.0Score=4.69006 PPDB1.0Score=8.070220 -logp(LHS,e1)=0.13555 -logp(LHS,e2)=0 -logp(e1,LHS)=10.29697 -logp(e1,e2)=1.35446 -logp(e1,"e2,LHS)=1.24481 -logp(e2",LHS)=15.52271 -logp(e2,e1)=6.71576 -logp(e2,"e1,LHS)=6.47056 AGigaSim=0.92384 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.16705 ContainsX=0 Equivalence=0.188457 Exclusion=0.023814 GlueRule=0 GoogleNgramSim=0.47763 Identity=0 Independent=0.457132 Lex(e1",e2)=62.90141 Lex(e2,e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.083349 PhrasePenalty=1 RarityPenalty=0.00091 ForwardEntailment=0.247248 SourceTerminalsButNoTarget=0 SourceWords=3 TargetComplexity=0.98913 TargetFormality=0.99900 TargetTerminalsButNoSource=0 TargetWords=3 UnalignedSource=1 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0.66667 WordLogCR=0 ,,, 0-0 1-1 2-2 , Independent
[S/S] , it is essential for , it is necessary for , PPDB2.0Score=4.67680 PPDB1.0Score=13.650590 -logp(LHS,e1)=1.49641 -logp(LHS,e2)=1.91042 -logp(e1,LHS)=11.22721 -logp(e1,e2)=6.60738 -logp(e1,"e2,LHS)=4.14131 -logp(e2",LHS)=12.07706 -logp(e2,e1)=7.04321 -logp(e2,"e1,LHS)=4.99115 AGigaSim=0.92077 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.357663 Exclusion=0.007885 GlueRule=0 GoogleNgramSim=0.38163 Identity=0 Independent=0.287217 Lex(e1",e2)=62.61372 Lex(e2,e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.000475 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.346761 SourceTerminalsButNoTarget=0 SourceWords=4 TargetComplexity=1.00000 TargetFormality=1.00000 TargetTerminalsButNoSource=0 TargetWords=4 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ,,, 0-0 1-1 2-2 3-3 , Equivalence
[VP/PP] , approved for sale , approved for use , PPDB2.0Score=4.70566 PPDB1.0Score=18.742350 -logp(LHS,e1)=0 -logp(LHS,e2)=0.47489 -logp(e1,LHS)=16.80703 -logp(e1,e2)=9.98551 -logp(e1,"e2,LHS)=5.77765 -logp(e2",LHS)=16.05326 -logp(e2,e1)=8.75684 -logp(e2,"e1,LHS)=5.02388 AGigaSim=0.81928 Abstract=0 Adjacent=0 CharCountDiff=-1 CharLogCR=-0.06062 ContainsX=0 Equivalence=0.168311 Exclusion=0.076785 GlueRule=0 GoogleNgramSim=0.51123 Identity=0 Independent=0.297211 Lex(e1",e2)=62.90141 Lex(e2,e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.076422 PhrasePenalty=1 RarityPenalty=0.36788 ForwardEntailment=0.381271 SourceTerminalsButNoTarget=0 SourceWords=3 TargetComplexity=0.97833 TargetTerminalsButNoSource=0 TargetWords=3 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-0.33333 WordLogCR=0 ,,, 0-0 1-1 2-2 , ForwardEntailment
[X] , rights and liberties of , rights and freedoms of the , PPDB2.0Score=4.67998 PPDB1.0Score=9.255180 -logp(LHS,e1)=0 -logp(LHS,e2)=0 -logp(e1,LHS)=16.47016 -logp(e1,e2)=5.22757 -logp(e1,"e2,LHS)=5.15455 -logp(e2",LHS)=15.27020 -logp(e2,e1)=4.02761 -logp(e2,"e1,LHS)=3.95458 AGigaSim=0.86672 Abstract=0 Adjacent=0 CharCountDiff=3 CharLogCR=0.12260 ContainsX=1 Equivalence=0.144440 Exclusion=0.011987 GlueRule=0 GoogleNgramSim=0.41652 Identity=0 Independent=0.363181 Lex(e1",e2)=62.90141 Lex(e2,e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.046410 PhrasePenalty=1 RarityPenalty=0.00005 ForwardEntailment=0.433982 SourceTerminalsButNoTarget=0 SourceWords=4 TargetComplexity=0.98413 TargetTerminalsButNoSource=0 TargetWords=5 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=1 WordLenDiff=-0.60000 WordLogCR=0.22314 ,,, 0-0 1-1 2-2 3-3 , ForwardEntailment
[X] , s. alber delivered his opinion , alber delivered his opinion , PPDB2.0Score=4.72074 PPDB1.0Score=4.672390 -logp(LHS,e1)=0 -logp(LHS,e2)=0 -logp(e1,LHS)=16.59800 -logp(e1,e2)=2.39001 -logp(e1,"e2,LHS)=2.39001 -logp(e2",LHS)=16.49036 -logp(e2,e1)=2.28238 -logp(e2,"e1,LHS)=2.28238 AGigaSim=1.00000 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.10536 ContainsX=1 Equivalence=0.510115 Exclusion=0.008235 GlueRule=0 GoogleNgramSim=0.65849 Identity=0 Independent=0.000774 Lex(e1",e2)=62.90141 Lex(e2,e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.000522 PhrasePenalty=1 RarityPenalty=0.01832 ReverseEntailment=0.480354 SourceTerminalsButNoTarget=0 SourceWords=5 TargetTerminalsButNoSource=0 TargetWords=4 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=-1 WordLenDiff=0.80000 WordLogCR=-0.22314 ,,, 0-0 1-0 2-1 3-2 4-3 , Equivalence
[S] , these exist , they are available , PPDB2.0Score=4.75891 PPDB1.0Score=25.225660 -logp(LHS,e1)=0.07095 -logp(LHS,e2)=0.83975 -logp(e1,LHS)=15.31917 -logp(e1,e2)=13.16441 -logp(e1,"e2,LHS)=6.96082 -logp(e2",LHS)=14.98480 -logp(e2,e1)=12.06125 -logp(e2,"e1,LHS)=6.62645 AGigaSim=0.23401 Abstract=0 Adjacent=0 CharCountDiff=7 CharLogCR=0.49248 ContainsX=0 Equivalence=0.042429 Exclusion=0.004755 GlueRule=0 GoogleNgramSim=0.03064 Identity=0 Independent=0.431268 Lex(e1",e2)=63.30685 Lex(e2,e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.100423 PhrasePenalty=1 RarityPenalty=0.36788 ReverseEntailment=0.421124 SourceTerminalsButNoTarget=0 SourceWords=2 TargetComplexity=1.00000 TargetTerminalsButNoSource=0 TargetWords=3 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=1 WordLenDiff=0.33333 WordLogCR=0.40547 ,,, 0-0 1-1 1-2 , Independent
[PP/PP] , of individuals belonging , of people belonging , PPDB2.0Score=4.71778 PPDB1.0Score=7.609990 -logp(LHS,e1)=0.19574 -logp(LHS,e2)=0 -logp(e1,LHS)=15.87403 -logp(e1,e2)=3.94043 -logp(e1,"e2,LHS)=3.79953 -logp(e2",LHS)=15.40741 -logp(e2,e1)=3.66956 -logp(e2,"e1,LHS)=3.33291 AGigaSim=0.91367 Abstract=0 Adjacent=0 CharCountDiff=-5 CharLogCR=-0.23361 ContainsX=0 Equivalence=0.570329 Exclusion=0.000328 GlueRule=0 GoogleNgramSim=0.36808 Identity=0 Independent=0.331420 Lex(e1",e2)=62.61372 Lex(e2,e1)=62.61372 Lexical=1 LogCount=1.09861 MVLSASim=NA Monotonic=1 OtherRelated=0.005522 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.092401 SourceTerminalsButNoTarget=0 SourceWords=3 TargetTerminalsButNoSource=0 TargetWords=3 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-1.66667 WordLogCR=0 ,,, 0-0 1-1 2-2 , Equivalence
